timestamp,func,details,elapsed_time_ms,cpu_time_ms,peak_memory_usage_MB,received_data_B,transmitted_data_B
2024-08-07 17:21:04.741940,update_prediction_horizon,Prediction,78.65,46.88,0.27,0,0
2024-08-07 17:21:32.953487,update_prediction_horizon,Prediction,78.79,46.88,0.27,0,0
2024-08-07 17:21:47.106435,update_prediction_horizon,Prediction,77.63,62.5,0.27,0,0
2024-08-07 17:22:49.462922,update_prediction_horizon,Prediction,94.57,78.12,0.27,0,0
2024-08-07 17:23:05.646437,update_prediction_horizon,Prediction,78.64,46.88,0.27,0,0
2024-08-07 17:23:55.962276,update_prediction_horizon,Prediction,111.19,46.88,0.27,0,0
2024-08-07 17:24:16.185321,update_prediction_horizon,Prediction,78.59,78.12,0.27,0,0
2024-08-07 17:24:28.325112,update_prediction_horizon,Prediction,78.64,46.88,0.27,0,0
2024-08-07 17:24:58.546446,update_prediction_horizon,Prediction,72.11,62.5,0.27,0,0
2024-08-07 17:25:28.778561,update_prediction_horizon,Prediction,77.71,31.25,0.27,0,0
2024-08-07 17:25:46.944196,update_prediction_horizon,Prediction,78.75,15.62,0.27,0,0
2024-08-07 17:26:05.110535,update_prediction_horizon,Prediction,88.08,78.12,0.27,0,0
2024-08-07 17:26:47.388370,update_prediction_horizon,Prediction,89.17,31.25,0.27,0,0
2024-08-07 17:27:33.689956,update_prediction_horizon,Prediction,78.64,62.5,0.27,0,0
2024-08-07 17:27:41.825138,update_prediction_horizon,Prediction,79.76,46.88,0.27,0,0
2024-08-07 17:27:43.916084,update_prediction_horizon,Prediction,93.24,62.5,0.54,0,0
2024-08-07 17:27:44.009324,update_prediction_horizon,Prediction,85.57,31.25,0.28,0,0
2024-08-07 17:27:44.105010,update_prediction_horizon,Prediction,78.66,62.5,0.28,0,0
2024-08-07 17:27:44.199285,update_prediction_horizon,Prediction,85.52,62.5,0.28,0,0
2024-08-07 17:27:44.300419,update_prediction_horizon,Prediction,94.13,46.88,0.28,0,0
2024-08-07 17:27:44.410659,update_prediction_horizon,Prediction,78.8,31.25,0.28,0,0
2024-08-07 17:27:44.505145,update_prediction_horizon,Prediction,78.48,62.5,0.28,0,0
2024-08-07 17:27:44.599150,update_prediction_horizon,Prediction,94.35,15.62,0.28,0,0
2024-08-07 17:27:44.709017,update_prediction_horizon,Prediction,90.56,31.25,0.28,0,0
2024-08-07 17:27:43.916084,_find_better_predictor,New model selection,899.02,406.25,0.0,0,0
2024-08-07 17:27:46.862987,sync,POST /nodes/S1/sync ,15.78,0,0.0,337,371
2024-08-07 17:27:44.815101,_synchronize_with_base_station,Synchronization,2079.4,0.0,9.94,0,0
2024-08-07 17:27:46.910035,update_prediction_horizon,Prediction,79.63,62.5,0.27,0,0
2024-08-07 17:27:57.031674,update_prediction_horizon,Prediction,92.06,62.5,0.27,0,0
2024-08-07 17:28:05.166693,update_prediction_horizon,Prediction,78.66,46.88,0.27,0,0
2024-08-07 17:28:11.300973,update_prediction_horizon,Prediction,74.62,78.12,0.54,0,0
2024-08-07 17:28:11.391307,update_prediction_horizon,Prediction,63.14,46.88,0.28,0,0
2024-08-07 17:28:11.470042,update_prediction_horizon,Prediction,93.65,62.5,0.28,0,0
2024-08-07 17:28:11.595168,update_prediction_horizon,Prediction,76.33,62.5,0.28,0,0
2024-08-07 17:28:11.687218,update_prediction_horizon,Prediction,94.14,62.5,0.28,0,0
2024-08-07 17:28:11.801575,update_prediction_horizon,Prediction,90.27,15.62,0.28,0,0
2024-08-07 17:28:11.908769,update_prediction_horizon,Prediction,77.64,15.62,0.28,0,0
2024-08-07 17:28:12.001923,update_prediction_horizon,Prediction,100.36,62.5,0.28,0,0
2024-08-07 17:28:12.112296,update_prediction_horizon,Prediction,91.48,31.25,0.28,0,0
2024-08-07 17:28:11.296954,_find_better_predictor,New model selection,923.25,453.12,0.0,0,0
2024-08-07 17:28:14.275592,sync,POST /nodes/S1/sync ,15.51,0,0.0,352,371
2024-08-07 17:28:12.235295,_synchronize_with_base_station,Synchronization,2071.94,15.62,9.92,0,0
2024-08-07 17:28:14.307234,update_prediction_horizon,Prediction,78.46,78.12,0.27,0,0
2024-08-07 17:29:16.684552,update_prediction_horizon,Prediction,93.93,62.5,0.27,0,0
2024-08-07 17:31:31.386612,update_prediction_horizon,Prediction,98.63,31.25,0.27,0,0
2024-08-07 17:31:39.521219,update_prediction_horizon,Prediction,92.13,31.25,0.27,0,0
2024-08-07 17:31:51.682648,update_prediction_horizon,Prediction,79.09,62.5,0.54,0,0
2024-08-07 17:31:51.778045,update_prediction_horizon,Prediction,74.95,46.88,0.29,0,0
2024-08-07 17:31:51.884279,update_prediction_horizon,Prediction,64.65,15.62,0.29,0,0
2024-08-07 17:31:51.979595,update_prediction_horizon,Prediction,95.18,62.5,0.29,0,0
2024-08-07 17:31:52.090498,update_prediction_horizon,Prediction,94.17,46.88,0.29,0,0
2024-08-07 17:31:52.201500,update_prediction_horizon,Prediction,77.89,78.12,0.28,0,0
2024-08-07 17:31:52.308117,update_prediction_horizon,Prediction,94.45,62.5,0.29,0,0
2024-08-07 17:31:52.445324,update_prediction_horizon,Prediction,100.37,46.88,0.29,0,0
2024-08-07 17:31:52.592929,update_prediction_horizon,Prediction,126.16,31.25,0.29,0,0
2024-08-07 17:31:51.682648,_find_better_predictor,New model selection,1083.75,515.62,0.0,0,0
2024-08-07 17:31:54.816170,sync,POST /nodes/S1/sync ,15.49,0,0.0,480,371
2024-08-07 17:31:52.766402,_synchronize_with_base_station,Synchronization,2081.37,15.62,9.92,0,0
2024-08-07 17:31:54.847767,update_prediction_horizon,Prediction,78.14,78.12,0.27,0,0
2024-08-07 17:32:21.042447,update_prediction_horizon,Prediction,92.86,46.88,0.27,0,0
2024-08-07 17:34:29.741576,update_prediction_horizon,Prediction,92.85,62.5,0.28,0,0
2024-08-07 17:34:45.909547,update_prediction_horizon,Prediction,78.95,31.25,0.28,0,0
2024-08-07 17:35:38.227546,update_prediction_horizon,Prediction,75.84,62.5,0.28,0,0
2024-08-07 17:36:16.471676,update_prediction_horizon,Prediction,91.24,78.12,0.28,0,0
2024-08-07 17:37:42.986630,update_prediction_horizon,Prediction,76.3,62.5,0.28,0,0
2024-08-07 17:38:55.407851,update_prediction_horizon,Prediction,94.0,31.25,0.28,0,0
2024-08-07 17:41:22.189097,update_prediction_horizon,Prediction,78.8,31.25,0.28,0,0
2024-08-07 17:41:30.310394,update_prediction_horizon,Prediction,94.34,62.5,0.28,0,0
2024-08-07 17:43:12.882737,update_prediction_horizon,Prediction,79.02,78.12,0.28,0,0
2024-08-07 17:43:21.017223,update_prediction_horizon,Prediction,78.53,62.5,0.28,0,0
2024-08-07 17:44:15.367624,update_prediction_horizon,Prediction,74.41,46.88,0.28,0,0
2024-08-07 17:44:21.486241,update_prediction_horizon,Prediction,78.24,62.5,0.28,0,0
2024-08-07 17:44:53.712045,update_prediction_horizon,Prediction,74.81,46.88,0.28,0,0
2024-08-07 17:45:03.838310,update_prediction_horizon,Prediction,92.64,62.5,0.28,0,0
2024-08-07 17:45:09.970382,update_prediction_horizon,Prediction,78.69,46.88,0.55,0,0
2024-08-07 17:45:10.080318,update_prediction_horizon,Prediction,63.55,31.25,0.29,0,0
2024-08-07 17:45:10.160347,update_prediction_horizon,Prediction,93.85,46.88,0.3,0,0
2024-08-07 17:45:10.269908,update_prediction_horizon,Prediction,86.53,15.62,0.3,0,0
2024-08-07 17:45:10.372083,update_prediction_horizon,Prediction,78.76,31.25,0.29,0,0
2024-08-07 17:45:10.482096,update_prediction_horizon,Prediction,94.82,46.88,0.3,0,0
2024-08-07 17:45:10.594069,update_prediction_horizon,Prediction,77.06,31.25,0.29,0,0
2024-08-07 17:45:10.694268,update_prediction_horizon,Prediction,72.15,31.25,0.3,0,0
2024-08-07 17:45:10.794439,update_prediction_horizon,Prediction,78.48,62.5,0.29,0,0
2024-08-07 17:45:09.970382,_find_better_predictor,New model selection,924.25,375.0,0.0,0,0
2024-08-07 17:45:12.941350,sync,POST /nodes/S1/sync ,15.55,0,0.0,341,371
2024-08-07 17:45:10.894628,_synchronize_with_base_station,Synchronization,2077.79,15.62,9.92,0,0
2024-08-07 17:45:12.972421,update_prediction_horizon,Prediction,79.26,78.12,0.28,0,0
2024-08-07 17:45:25.110528,update_prediction_horizon,Prediction,92.77,46.88,0.28,0,0
2024-08-07 17:45:31.246138,update_prediction_horizon,Prediction,77.62,62.5,0.28,0,0
2024-08-07 17:45:49.428346,update_prediction_horizon,Prediction,80.0,31.25,0.28,0,0
2024-08-07 17:46:17.657124,update_prediction_horizon,Prediction,90.21,31.25,0.28,0,0
2024-08-07 17:47:52.186821,update_prediction_horizon,Prediction,86.84,46.88,0.29,0,0
2024-08-07 17:48:10.363042,update_prediction_horizon,Prediction,90.16,31.25,0.29,0,0
2024-08-07 17:48:24.520971,update_prediction_horizon,Prediction,93.53,31.25,0.29,0,0
2024-08-07 17:48:42.694303,update_prediction_horizon,Prediction,95.17,46.88,0.29,0,0
2024-08-07 17:49:08.904472,update_prediction_horizon,Prediction,138.09,93.75,0.29,0,0
2024-08-07 17:49:25.129293,update_prediction_horizon,Prediction,79.31,46.88,0.29,0,0
2024-08-07 17:49:51.344722,update_prediction_horizon,Prediction,78.23,46.88,0.29,0,0
2024-08-07 17:50:07.502038,update_prediction_horizon,Prediction,98.97,78.12,0.29,0,0
2024-08-07 17:50:27.714234,update_prediction_horizon,Prediction,78.74,62.5,0.29,0,0
2024-08-07 17:50:53.919287,update_prediction_horizon,Prediction,91.13,78.12,0.29,0,0
2024-08-07 17:51:10.108607,update_prediction_horizon,Prediction,140.1,62.5,0.29,0,0
2024-08-07 17:52:38.687536,update_prediction_horizon,Prediction,125.42,31.25,0.29,0,0
2024-08-07 17:52:46.855340,update_prediction_horizon,Prediction,125.42,62.5,0.29,0,0
2024-08-07 17:52:53.005519,update_prediction_horizon,Prediction,137.1,62.5,0.56,0,0
2024-08-07 17:52:53.175335,update_prediction_horizon,Prediction,118.09,15.62,0.3,0,0
2024-08-07 17:52:53.309125,update_prediction_horizon,Prediction,140.33,31.25,0.3,0,0
2024-08-07 17:52:53.481110,update_prediction_horizon,Prediction,186.02,62.5,0.3,0,0
2024-08-07 17:52:53.702306,update_prediction_horizon,Prediction,264.86,78.12,0.3,0,0
2024-08-07 17:52:54.016978,update_prediction_horizon,Prediction,274.05,140.62,0.3,0,0
2024-08-07 17:52:54.387201,update_prediction_horizon,Prediction,345.62,187.5,0.3,0,0
2024-08-07 17:52:54.790209,update_prediction_horizon,Prediction,344.98,93.75,0.3,0,0
2024-08-07 17:52:55.197704,update_prediction_horizon,Prediction,311.65,140.62,0.3,0,0
2024-08-07 17:52:53.005519,_find_better_predictor,New model selection,2582.7,968.75,0.0,0,0
2024-08-07 17:52:57.705050,sync,POST /nodes/S1/sync ,30.65,0,0.0,347,371
2024-08-07 17:52:55.619760,_synchronize_with_base_station,Synchronization,2131.56,62.5,9.94,0,0
2024-08-07 17:52:57.751322,update_prediction_horizon,Prediction,142.96,46.88,0.29,0,0
2024-08-07 17:54:02.210050,update_prediction_horizon,Prediction,75.85,62.5,0.29,0,0
2024-08-07 17:54:46.482327,update_prediction_horizon,Prediction,92.77,31.25,0.29,0,0
2024-08-07 17:54:58.631658,update_prediction_horizon,Prediction,78.58,62.5,0.29,0,0
2024-08-07 17:55:10.785459,update_prediction_horizon,Prediction,92.2,62.5,0.29,0,0
2024-08-07 17:55:20.923217,update_prediction_horizon,Prediction,95.75,31.25,0.56,0,0
2024-08-07 17:55:21.035554,update_prediction_horizon,Prediction,93.86,15.62,0.3,0,0
2024-08-07 17:55:21.145112,update_prediction_horizon,Prediction,79.19,31.25,0.3,0,0
2024-08-07 17:55:21.255678,update_prediction_horizon,Prediction,94.89,46.88,0.3,0,0
2024-08-07 17:55:21.366079,update_prediction_horizon,Prediction,94.71,15.62,0.3,0,0
2024-08-07 17:55:21.476403,update_prediction_horizon,Prediction,107.16,46.88,0.3,0,0
2024-08-07 17:55:21.607909,update_prediction_horizon,Prediction,99.93,31.25,0.3,0,0
2024-08-07 17:55:21.731988,update_prediction_horizon,Prediction,128.4,62.5,0.3,0,0
2024-08-07 17:55:21.889104,update_prediction_horizon,Prediction,109.79,62.5,0.3,0,0
