         52669681 function calls (51841661 primitive calls) in 3601.814 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       96    0.003    0.000    9.377    0.098 client.py:1342(getresponse)
       96    0.005    0.000    9.363    0.098 client.py:318(begin)
      192    0.003    0.000    9.260    0.048 socket.py:692(readinto)
      192    9.256    0.048    9.256    0.048 {method 'recv_into' of '_socket.socket' objects}
       96    0.003    0.000    9.253    0.096 client.py:285(_read_status)
      672    0.004    0.000    9.249    0.014 {method 'readline' of '_io.BufferedReader' objects}
     8298    0.258    0.000    9.230    0.001 concat.py:565(get_result)
15495/15051    0.128    0.000    9.211    0.001 indexing.py:1059(__getitem__)
  2706239    5.419    0.000    9.153    0.000 generic.py:45(_instancecheck)
      444    0.089    0.000    8.838    0.020 utils.py:63(convert_datetime)
   213120    2.738    0.000    8.770    0.000 timedeltas.py:1008(_validate_td64_dtype)
    21932    0.183    0.000    8.234    0.000 base.py:7396(_maybe_cast_data_without_dtype)
    32892    0.406    0.000    8.052    0.000 datetimes.py:290(_from_sequence_not_strict)
    12339    0.156    0.000    7.845    0.001 indexing.py:1276(_getitem_axis)
     8298    0.258    0.000    7.735    0.001 concat.py:176(concatenate_managers)
    67443    0.516    0.000    7.465    0.000 missing.py:268(_isna_array)
    39111    0.939    0.000    7.333    0.000 series.py:342(__init__)
    32892    0.699    0.000    7.139    0.000 datetimes.py:1980(_sequence_to_dt64ns)
     8298    0.330    0.000    6.990    0.001 concat.py:389(__init__)
   168163    0.877    0.000    6.936    0.000 {method 'any' of 'numpy.ndarray' objects}
    56798    0.199    0.000    6.832    0.000 datetimelike.py:879(isna)
41281/41253    0.297    0.000    6.739    0.000 datetimes.py:313(__new__)
     3518    0.022    0.000    6.375    0.002 frame.py:11843(interpolate)
     3518    0.174    0.000    6.353    0.002 generic.py:7294(interpolate)
     4308    0.050    0.000    6.183    0.001 __init__.py:1610(_log)
    33109    1.650    0.000    6.147    0.000 {pandas._libs.lib.maybe_convert_objects}
     4213    0.039    0.000    6.110    0.001 __init__.py:1467(debug)
     8298    0.043    0.000    6.078    0.001 concat.py:631(_get_new_axes)
   168163    0.351    0.000    6.059    0.000 _methods.py:55(_any)
     8298    0.080    0.000    6.017    0.001 concat.py:633(<listcomp>)
    54168    0.367    0.000    5.956    0.000 <__array_function__ internals>:177(broadcast_to)
   187296    5.931    0.000    5.931    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    22516    0.109    0.000    5.743    0.000 <__array_function__ internals>:177(concatenate)
     4021    0.058    0.000    5.719    0.001 __init__.py:2150(debug)
   244264    0.618    0.000    5.638    0.000 construction.py:399(extract_array)
     4308    0.022    0.000    5.414    0.001 __init__.py:1636(handle)
