model_id,measurements,horizon_updates,uptime_sec,simulated_uptime_sec,uptime_pct,model_switches,violations,model_switches_per_sim_hour,violations_per_sim_hour,violations_per_measurement
vienna_2010_2019_low_temp_simple_dense,3522,1.0,7103.218658,2113200,0.6577099201665014,3,137,0.005110732538330494,0.23339011925042588,0.03889835320840432
vienna_2010_2019_medium_temp_simple_dense,52,0.0,111.940474,31200,0.010364929444347162,2,8,0.23076923076923078,0.9230769230769231,0.15384615384615385
vienna_2010_2019_simple_dense,685,0.0,1382.622235,411000,0.12802145106121832,1,28,0.00875912408759124,0.24525547445255474,0.040875912408759124
vienna_2019_2019_low_temp_simple_dense,466,0.0,944.4783,279600,0.08745229130633261,2,21,0.02575107296137339,0.27038626609442057,0.045064377682403435
vienna_2019_2019_medium_temp_simple_dense,105,0.0,218.803353,63000,0.020259707994729287,2,10,0.11428571428571428,0.5714285714285714,0.09523809523809523
vienna_2019_2019_simple_dense,252,0.0,513.584402,151200,0.04755443585532101,2,10,0.047619047619047616,0.23809523809523808,0.03968253968253968
zamg_vienna_2019_2019_simple_dense,253,1.0,525.278868,151800,0.0486372641715502,4,19,0.09486166007905139,0.4505928853754941,0.07509881422924901
