timestamp,node_id,event,details
2024-08-07 16:30:33.251856,S1,REGISTRATION,-
2024-08-07 16:30:37.393928,S1,MODEL_DEPLOYMENT,vienna_2019_2019_simple_dense
2024-08-07 16:30:41.524695,S1,MODEL_DEPLOYMENT,zamg_vienna_2019_2019_simple_dense
2024-08-07 16:30:43.706212,S1,SYNC,-
2024-08-07 16:31:08.986541,S1,SYNC,-
2024-08-07 16:39:45.779737,S1,SYNC,-
2024-08-07 17:27:46.870647,S1,SYNC,-
2024-08-07 17:28:14.275592,S1,SYNC,-
2024-08-07 17:31:54.816170,S1,SYNC,-
2024-08-07 17:45:12.941350,S1,SYNC,-
2024-08-07 17:52:57.705050,S1,SYNC,-
2024-08-07 17:55:24.090042,S1,SYNC,-
2024-08-07 18:00:17.173652,S1,SYNC,-
2024-08-07 18:04:26.349999,S1,SYNC,-
2024-08-07 18:49:33.247282,S1,SYNC,-
2024-08-07 18:51:15.492671,S1,SYNC,-
2024-08-07 18:53:35.600480,S1,SYNC,-
2024-08-07 18:55:00.083632,S1,SYNC,-
2024-08-07 19:18:02.761877,S1,SYNC,-
2024-08-07 19:19:59.259984,S1,SYNC,-
2024-08-07 19:21:45.763180,S1,SYNC,-
